TID	Items	Quantities	Profit	Utility
T742	1,3,5,7,9,11,14,15,17,19,21,23,25,27,29,31,34,36,38,40,42,45,46,48,50,52,55,56,58,60,62,64,66,69,70,72,74	4,3,2,2,3,4,1,2,2,3,2,3,2,3,4,1,4,1,1,4,2,3,2,4,1,3,4,3,3,4,3,4,1,2,2,2,4	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-6,8,8,-12,-20,-5,-10,-10,-15,-4,-9,-6,6,-4,4,-4,-3,-2,-16,-6,-3,-8,-4,-4,-3,12,-9,-6,-20,-12,-12,-3,4,6,4,-16
T743	1,3,5,7,9,11,14,15,17,20,21,23,25,27,29,31,34,36,38,40,42,45,47,48,50,52,55,56,58,60,62,64,66,68,70,72,74	2,4,4,3,1,3,2,3,3,1,1,2,3,3,2,3,1,4,1,4,1,3,4,3,2,4,3,1,2,3,3,3,3,2,4,4,1	1,-2,4,4,-4,-5,-5,-5,-5,-2,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-8,16,12,-4,-15,-10,-15,-15,-2,-2,-6,-9,6,-2,12,-1,-12,-2,-16,-3,-3,-8,-3,-8,-4,9,-3,-4,-15,-12,-9,-9,-8,12,8,-4
T744	1,3,5,7,9,11,14,15,17,20,21,23,25,27,29,31,34,36,38,40,42,45,47,48,50,52,55,56,58,60,62,64,66,69,70,72,74	2,3,2,4,4,4,2,4,2,4,1,4,1,3,4,3,1,2,4,1,3,3,2,4,2,1,1,2,2,1,3,3,4,4,4,1,4	1,-2,4,4,-4,-5,-5,-5,-5,-2,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	2,-6,8,16,-16,-20,-10,-20,-10,-8,-2,-12,-3,6,-4,12,-1,-6,-8,-4,-9,-3,-4,-4,-8,-1,3,-6,-4,-5,-12,-9,-12,8,12,2,-16
T745	1,3,5,7,9,11,14,15,17,19,21,23,25,27,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,68,70,72,74	1,2,3,4,3,1,2,1,1,1,4,4,1,2,1,2,4,1,2,2,1,4,2,1,3,4,2,3,2,4,3,1,1,3,2,2,1	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-4,12,16,-12,-5,-10,-5,-5,-5,-8,-12,-3,4,-1,8,-4,-3,-4,-8,-3,-4,-8,-1,3,-4,6,-9,-4,-20,-12,-3,-3,-12,6,4,-4
T746	1,3,5,7,9,11,14,15,17,19,21,23,25,27,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,69,70,72,74	1,4,1,4,2,3,4,4,2,3,3,1,2,3,4,2,1,4,4,4,3,3,1,3,3,3,2,3,3,1,1,1,3,3,2,4,4	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	1,-8,4,16,-8,-15,-20,-20,-10,-15,-6,-3,-6,6,-4,8,-1,-12,-8,-16,-9,-3,-4,-3,3,-3,6,-9,-6,-5,-4,-3,-9,6,6,8,-16
T747	1,3,5,7,9,12,14,16,17,19,21,23,25,27,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,69,70,72,74	3,2,1,4,2,2,4,4,1,2,1,1,2,2,4,3,2,1,4,2,2,1,3,3,1,4,4,4,4,4,4,1,1,3,4,2,2	1,-2,4,4,-4,1,-5,-4,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	3,-4,4,16,-8,2,-20,-16,-5,-10,-2,-3,-6,4,-4,12,-2,-3,-8,-8,-6,-1,-12,-3,1,-4,12,-12,-8,-20,-16,-3,-3,6,12,4,-8
T748	1,3,5,7,9,11,14,15,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,50,52,55,56,58,60,62,64,66,68,71,72,74	2,2,3,3,2,3,4,2,4,2,4,3,1,3,1,4,1,3,3,4,1,1,3,4,3,4,2,3,4,4,2,4,1,1,4,2,2	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	2,-4,12,12,-8,-15,-20,-10,-20,-10,-8,-9,-3,6,-1,16,-1,-9,-9,-16,-3,-1,-12,-4,-12,-4,6,-9,-8,-20,-8,-12,-3,-4,-4,4,-8
T749	1,3,5,7,9,12,14,15,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,50,52,55,56,58,60,62,64,66,68,71,72,74	4,2,1,2,1,2,1,4,3,1,2,1,4,1,2,2,4,1,1,1,4,4,2,3,2,3,4,4,3,3,2,3,4,4,3,1,2	1,-2,4,4,-4,1,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	4,-4,4,8,-4,2,-5,-20,-15,-5,-4,-3,-12,2,-2,8,-4,-3,-3,-4,-12,-4,-8,-3,-8,-3,12,-12,-6,-15,-8,-9,-12,-16,-3,2,-8
T750	1,3,5,7,9,12,14,16,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,50,52,55,56,58,60,62,64,66,68,71,72,74	3,2,2,2,2,3,2,1,4,3,1,1,4,3,1,1,4,3,1,3,3,1,1,1,4,1,4,1,2,2,3,2,4,4,2,3,3	1,-2,4,4,-4,1,-5,-4,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	3,-4,8,8,-8,3,-10,-4,-20,-15,-2,-3,-12,6,-1,4,-4,-9,-3,-12,-9,-1,-4,-1,-16,-1,12,-3,-4,-10,-12,-6,-12,-16,-2,6,-12
T751	1,3,5,7,9,11,14,15,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,50,52,55,56,58,60,62,64,66,69,71,72,74	2,1,1,2,3,2,2,3,4,1,3,4,4,2,1,4,2,1,4,2,1,3,2,4,1,4,4,4,3,4,4,2,1,4,4,4,1	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,-1,2,-4	2,-2,4,8,-12,-10,-10,-15,-20,-5,-6,-12,-12,4,-1,16,-2,-3,-12,-8,-3,-3,-8,-4,-4,-4,12,-12,-6,-20,-16,-6,-3,8,-4,8,-4
T752	1,3,5,7,9,12,14,15,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,50,52,55,56,58,60,62,64,66,69,71,72,74	3,2,2,1,1,1,3,4,1,1,3,2,3,1,2,3,2,3,4,4,2,1,4,4,1,1,1,4,2,3,3,3,4,4,1,2,1	1,-2,4,4,-4,1,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,-1,2,-4	3,-4,8,4,-4,1,-15,-20,-5,-5,-6,-6,-9,2,-2,12,-2,-9,-12,-16,-6,-1,-16,-4,-4,-1,3,-12,-4,-15,-12,-9,-12,8,-1,4,-4
T753	1,3,5,7,9,11,14,16,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,50,52,55,56,58,60,62,64,66,69,71,72,74	3,3,2,2,2,2,3,4,3,1,2,3,1,4,1,3,1,3,1,4,4,4,2,3,2,4,2,4,1,4,3,1,4,1,3,3,1	1,-2,4,4,-4,-5,-5,-4,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,-1,2,-4	3,-6,8,8,-8,-10,-15,-16,-15,-5,-4,-9,-3,8,-1,12,-1,-9,-3,-16,-12,-4,-8,-3,-8,-4,6,-12,-2,-20,-12,-3,-12,2,-3,6,-4
T754	1,3,5,7,9,11,14,15,17,20,21,23,25,27,29,31,34,36,39,40,42,45,47,48,50,52,55,56,58,60,62,64,66,69,70,72,74	2,3,3,1,3,3,1,3,4,1,1,2,3,4,4,3,1,2,1,2,3,1,1,1,3,4,4,3,4,1,3,2,3,4,4,1,3	1,-2,4,4,-4,-5,-5,-5,-5,-2,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-2,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	2,-6,12,4,-12,-15,-5,-15,-20,-2,-2,-6,-9,8,-4,12,-1,-6,-3,-8,-9,-1,-2,-1,-12,-4,12,-9,-8,-5,-12,-6,-9,8,12,2,-12
T755	1,3,5,7,9,11,14,15,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,51,52,55,56,58,60,62,64,66,68,71,72,74	2,2,1,1,3,3,3,4,1,1,3,3,1,3,2,1,3,2,3,2,2,1,3,3,2,1,2,4,1,2,3,2,1,4,4,3,2	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	2,-4,4,4,-12,-15,-15,-20,-5,-5,-6,-9,-3,6,-2,4,-3,-6,-9,-8,-6,-1,-12,-3,2,-1,6,-12,-2,-10,-12,-6,-3,-16,-4,6,-8
T756	1,3,5,7,9,11,14,15,17,19,21,23,25,27,29,31,34,36,39,40,42,45,46,48,51,52,55,56,58,60,62,64,66,69,71,72,74	3,3,4,4,4,1,2,1,4,3,2,4,4,3,1,4,1,1,4,2,2,3,3,4,2,2,4,1,3,1,3,4,2,3,2,3,1	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,2,-1,2,-4	3,-6,16,16,-16,-5,-10,-5,-20,-15,-4,-12,-12,6,-1,16,-1,-3,-12,-8,-6,-3,-12,-4,2,-2,12,-3,-6,-5,-12,-12,-6,6,-2,6,-4
T757	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	1,1,4,1,4,3,4,1,1,4,3,2,3,2,1,4,4,3,3,1,3,2,2,1,4,2,2,3,2,4,3,3,1,2,3,4,3	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-2,16,4,-16,-15,-4,-5,-5,-20,-6,-6,-9,-4,-1,16,-4,-9,-6,-4,-9,-2,-8,-1,-16,-2,-10,-9,-4,-20,-12,-9,-3,-8,9,8,-12
T758	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	3,2,4,2,2,4,3,3,2,2,1,1,3,3,4,3,4,1,3,1,3,4,3,1,1,1,3,2,3,3,4,3,3,3,1,1,2	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	3,-4,16,8,-8,-20,-3,-15,-10,-10,-2,-3,-9,-6,-4,12,-4,-3,-6,-4,-9,-4,-12,-1,-4,-1,-15,-6,-6,-15,-16,-9,-9,6,3,2,-8
T759	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	2,1,4,4,4,3,2,3,4,4,2,2,4,3,3,4,1,3,1,2,2,4,3,3,3,1,2,3,1,1,1,4,2,1,1,1,2	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-2,16,16,-16,-15,-2,-15,-20,-20,-4,-6,-12,-6,-3,16,-1,-9,-2,-8,-6,-4,-12,-3,3,-1,-10,-9,-2,-5,-4,-12,-6,-4,3,2,-8
T760	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,54,56,58,60,63,64,66,68,70,72,74	1,4,3,3,1,1,1,1,4,2,1,4,3,4,3,2,3,1,1,4,3,2,1,1,3,1,2,2,2,1,3,3,1,2,3,4,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,1,-3,-3,-4,3,2,-4	1,-8,12,12,-4,-5,-1,-5,-20,-10,-2,-12,-9,-8,-3,8,-3,-3,-2,-16,-9,-2,-4,-1,3,-1,-10,-6,-4,-5,3,-9,-3,-8,9,8,-4
T761	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,54,56,58,60,62,64,66,69,70,72,74	2,1,2,3,4,4,1,2,3,4,2,3,3,4,2,2,2,3,2,1,4,4,1,4,4,3,4,2,1,3,4,1,2,1,3,1,4	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	2,-2,8,12,-16,-20,-1,-10,-15,-20,-4,-9,-9,-8,-2,8,-2,-9,-4,-4,-12,-4,-4,-4,4,-3,-20,-6,-2,-15,-16,-3,-6,2,9,2,-16
T762	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,54,56,58,60,63,64,66,69,70,72,74	2,1,3,2,2,2,4,2,4,4,3,4,3,2,3,2,1,2,2,2,1,4,4,4,4,2,4,3,3,2,2,2,2,1,3,2,4	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,1,-3,-3,2,3,2,-4	2,-2,12,8,-8,-10,-4,-10,-20,-20,-6,-12,-9,-4,-3,8,-1,-6,-4,-8,-3,-4,-16,-4,4,-2,-20,-9,-6,-10,2,-6,-6,2,9,4,-16
T763	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74	4,4,1,4,3,4,2,4,1,2,2,4,3,2,3,4,1,4,4,1,3,3,1,1,3,3,3,2,2,1,3,4,4,1,4,3,4	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-8,4,16,-12,-20,-10,-20,-5,-10,-4,-12,-9,-4,-3,16,-1,-12,-8,-4,-9,-3,-4,-1,-12,-3,-15,-6,-4,-5,-12,-12,-12,-4,12,6,-16
T764	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	2,3,4,2,2,1,1,3,3,3,4,1,3,4,3,3,3,4,1,3,4,1,3,4,4,1,4,1,3,4,4,3,1,2,2,4,2	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	2,-6,16,8,-8,-5,-5,-15,-15,-15,-8,-3,-9,-8,-3,12,-3,-12,-2,-12,-12,-1,-12,-4,-16,-1,-20,-3,-6,-20,-16,-9,-3,4,6,8,-8
T765	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,54,56,58,60,62,64,66,68,70,72,74	2,1,1,2,1,3,1,3,3,3,2,2,3,3,4,2,2,2,2,3,1,2,1,3,3,3,3,2,4,1,2,1,1,1,4,2,1	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-2,4,8,-4,-15,-5,-15,-15,-15,-4,-6,-9,-6,-4,8,-2,-6,-4,-12,-3,-2,-4,-3,3,-3,-15,-6,-8,-5,-8,-3,-3,-4,12,4,-4
T766	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,54,56,58,60,62,64,66,69,70,72,74	4,3,3,2,4,1,2,1,4,4,2,4,3,1,1,4,1,2,3,1,2,1,4,4,4,4,2,1,2,1,1,3,2,1,3,3,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-6,12,8,-16,-5,-10,-5,-20,-20,-4,-12,-9,-2,-1,16,-1,-6,-6,-4,-6,-1,-16,-4,4,-4,-10,-3,-4,-5,-4,-9,-6,2,9,6,-12
T767	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,55,56,58,60,62,64,66,68,70,72,74	4,4,2,4,1,2,1,4,3,1,2,3,1,3,4,3,3,2,3,1,3,1,4,4,1,3,4,1,2,2,4,2,1,3,1,1,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-8,8,16,-4,-10,-1,-20,-15,-5,-4,-9,-3,-6,-4,12,-3,-6,-6,-4,-9,-1,-16,-4,-4,-3,12,-3,-4,-10,-16,-6,-3,-12,3,2,-4
T768	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,55,56,58,60,62,64,66,69,70,72,74	4,4,3,2,1,3,2,3,1,1,1,1,4,4,1,4,4,3,1,1,3,1,2,4,4,4,2,3,4,1,2,2,1,3,4,2,3	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-8,12,8,-4,-15,-2,-15,-5,-5,-2,-3,-12,-8,-1,16,-4,-9,-2,-4,-9,-1,-8,-4,-16,-4,6,-9,-8,-5,-8,-6,-3,6,12,4,-12
T769	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,68,70,72,74	1,2,3,2,4,2,2,3,4,3,3,4,1,2,4,1,3,1,3,4,2,2,3,3,2,1,2,1,4,3,4,2,1,3,4,1,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,-4,3,2,-4	1,-4,12,8,-16,-10,-2,-15,-20,-15,-6,-12,-3,-4,-4,4,-3,-3,-6,-16,-6,-2,-12,-3,2,-1,6,-3,-8,-15,-16,-6,-3,-12,12,2,-4
T770	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,63,64,66,68,70,72,74	4,2,4,4,1,4,3,1,3,3,1,1,1,4,3,2,3,3,3,1,1,2,1,3,1,1,4,1,3,4,4,4,3,1,2,2,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,1,-3,-3,-4,3,2,-4	4,-4,16,16,-4,-20,-3,-5,-15,-15,-2,-3,-3,-8,-3,8,-3,-9,-6,-4,-3,-2,-4,-3,1,-1,12,-3,-6,-20,4,-12,-9,-4,6,4,-4
T771	1,3,5,7,9,11,13,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,69,70,72,74	4,3,4,2,3,3,1,1,4,4,1,4,1,2,3,4,3,3,1,2,3,3,4,4,1,1,2,1,3,2,2,3,4,2,2,3,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-6,16,8,-12,-15,-1,-5,-20,-20,-2,-12,-3,-4,-3,16,-3,-9,-2,-8,-9,-3,-16,-4,1,-1,6,-3,-6,-10,-8,-9,-12,4,6,6,-4
T772	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,55,56,58,60,62,64,66,68,70,72,74	3,4,2,3,4,4,4,1,4,2,2,1,3,2,2,3,4,4,4,4,2,1,2,1,4,3,3,2,4,4,3,3,2,1,3,3,4	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-8,8,12,-16,-20,-20,-5,-20,-10,-4,-3,-9,-4,-2,12,-4,-12,-8,-16,-6,-1,-8,-1,-16,-3,9,-6,-8,-20,-12,-9,-6,-4,9,6,-16
T773	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,50,52,55,56,58,60,62,64,66,69,70,72,74	4,2,1,1,2,1,3,1,2,2,2,3,2,1,2,2,2,4,1,1,1,4,3,2,1,3,1,1,3,4,4,4,3,1,4,2,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	4,-4,4,4,-8,-5,-15,-5,-10,-10,-4,-9,-6,-2,-2,8,-2,-12,-2,-4,-3,-4,-12,-2,-4,-3,3,-3,-6,-20,-16,-12,-9,2,12,4,-12
T774	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,68,70,72,74	4,2,4,4,1,1,4,2,3,1,1,1,4,1,4,2,2,1,4,4,3,1,4,2,3,4,1,4,4,1,2,2,3,2,2,3,2	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,-4,3,2,-4	4,-4,16,16,-4,-5,-20,-10,-15,-5,-2,-3,-12,-2,-4,8,-2,-3,-8,-16,-9,-1,-16,-2,3,-4,3,-12,-8,-5,-8,-6,-9,-8,6,6,-8
T775	1,3,5,7,9,12,14,16,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,68,70,72,74	3,1,4,4,4,1,2,3,4,4,1,1,1,4,2,3,4,3,3,4,2,3,2,3,4,1,2,4,3,4,3,4,1,1,3,3,4	1,-2,4,4,-4,1,-5,-4,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,-4,3,2,-4	3,-2,16,16,-16,1,-10,-12,-20,-20,-2,-3,-3,-8,-2,12,-4,-9,-6,-16,-6,-3,-8,-3,4,-1,6,-12,-6,-20,-12,-12,-3,-4,9,6,-16
T776	1,3,5,7,9,11,14,15,17,19,21,23,25,28,29,31,34,36,38,40,42,45,46,48,51,52,55,56,58,60,62,64,66,69,70,72,74	3,4,1,4,2,2,3,3,4,4,2,1,4,2,2,1,3,3,2,3,1,2,1,2,2,1,1,1,3,3,2,4,1,3,2,4,4	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-3,-2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,1,-1,3,-3,-2,-5,-4,-3,-3,2,3,2,-4	3,-8,4,16,-8,-10,-15,-15,-20,-20,-4,-3,-12,-4,-2,4,-3,-9,-4,-12,-3,-2,-4,-2,2,-1,3,-3,-6,-15,-8,-12,-3,6,6,8,-16
T777	1,3,5,7,9,11,13,15,17,19,21,23,26,27,29,31,34,36,38,40,42,45,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	1,2,1,1,3,1,1,2,1,1,2,4,4,2,4,4,3,1,1,4,4,2,1,1,1,3,4,1,2,3,3,1,1,1,3,3,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-1,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	1,-4,4,4,-12,-5,-1,-10,-5,-5,-4,-12,-4,4,-4,16,-3,-3,-2,-16,-12,-2,-4,-1,-4,-3,-20,-3,-4,-15,-12,-3,-3,2,9,6,-4
T778	1,3,5,7,9,11,13,15,17,20,21,23,26,27,29,31,34,36,38,40,42,45,47,48,50,52,54,56,58,60,62,64,66,68,70,72,74	2,1,2,3,3,3,2,2,4,3,1,4,3,3,2,1,2,2,3,2,3,1,4,1,2,1,2,4,3,2,2,4,4,3,1,4,2	1,-2,4,4,-4,-5,-1,-5,-5,-2,-2,-3,-1,2,-1,4,-1,-3,-2,-4,-3,-1,-2,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,3,2,-4	2,-2,8,12,-12,-15,-2,-10,-20,-6,-2,-12,-3,6,-2,4,-2,-6,-6,-8,-9,-1,-8,-1,-8,-1,-10,-12,-6,-10,-8,-12,-12,-12,3,8,-8
T779	1,3,5,7,9,11,13,15,17,19,21,23,26,27,29,31,34,36,39,40,42,45,46,48,50,52,54,56,58,60,62,64,66,68,71,72,74	4,4,4,2,4,2,3,2,3,4,2,3,3,3,4,2,1,2,4,1,1,3,1,1,3,2,4,4,1,3,2,3,2,2,1,1,1	1,-2,4,4,-4,-5,-1,-5,-5,-5,-2,-3,-1,2,-1,4,-1,-3,-3,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,-4,-1,2,-4	4,-8,16,8,-16,-10,-3,-10,-15,-20,-4,-9,-3,6,-4,8,-1,-6,-12,-4,-3,-3,-4,-1,-12,-2,-20,-12,-2,-15,-8,-9,-6,-8,-1,2,-4
T780	1,3,5,7,9,11,14,15,17,19,21,23,26,27,29,31,34,36,38,40,42,45,46,48,50,52,54,56,58,60,62,64,66,69,70,72,74	3,2,4,2,3,1,1,1,4,3,4,2,2,1,4,3,2,4,4,1,3,1,4,4,2,3,1,3,3,3,1,4,2,4,1,1,3	1,-2,4,4,-4,-5,-5,-5,-5,-5,-2,-3,-1,2,-1,4,-1,-3,-2,-4,-3,-1,-4,-1,-4,-1,-5,-3,-2,-5,-4,-3,-3,2,3,2,-4	3,-4,16,8,-12,-5,-5,-5,-20,-15,-8,-6,-2,2,-4,12,-2,-12,-8,-4,-9,-1,-16,-4,-8,-3,-5,-9,-6,-15,-4,-12,-6,8,3,2,-12
